iter	Passed	Remaining
1083	1438	1279
1084	1440	1278
1085	1441	1276
1086	1442	1275
1087	1443	1274
1088	1445	1272
1089	1446	1271
1090	1447	1270
1091	1449	1268
1092	1450	1267
1093	1451	1265
1094	1452	1264
1095	1454	1263
1096	1455	1261
1097	1456	1260
1098	1458	1259
1099	1459	1257
1100	1461	1256
1101	1462	1255
1102	1463	1254
1103	1465	1252
1104	1466	1251
1105	1468	1250
1106	1469	1249
1107	1470	1247
1108	1471	1246
1109	1473	1245
1110	1474	1243
1111	1475	1242
1112	1477	1240
1113	1478	1239
1114	1479	1238
1115	1481	1237
1116	1482	1235
1117	1483	1234
1118	1485	1233
1119	1486	1231
1120	1487	1230
1121	1489	1229
1122	1490	1227
1123	1491	1226
1124	1493	1225
1125	1494	1223
1126	1496	1222
1127	1497	1221
1128	1498	1219
1129	1500	1218
1130	1501	1217
1131	1502	1215
1132	1504	1214
1133	1505	1213
1134	1506	1212
1135	1508	1210
1136	1509	1209
1137	1511	1208
1138	1512	1207
1139	1513	1205
1140	1515	1204
1141	1516	1203
1142	1517	1201
1143	1519	1200
1144	1520	1199
1145	1521	1197
1146	1523	1196
1147	1524	1195
1148	1525	1193
1149	1527	1192
1150	1528	1191
1151	1529	1189
1152	1531	1188
1153	1532	1187
1154	1533	1185
1155	1535	1184
1156	1536	1183
1157	1537	1181
1158	1539	1180
1159	1540	1179
1160	1541	1177
1161	1543	1176
1162	1544	1175
1163	1545	1173
1164	1547	1172
1165	1548	1171
1166	1549	1169
1167	1551	1168
1168	1552	1167
1169	1553	1165
1170	1554	1164
1171	1556	1163
1172	1557	1161
1173	1558	1160
1174	1560	1159
1175	1561	1157
1176	1562	1156
1177	1564	1155
1178	1565	1153
1179	1566	1152
1180	1568	1151
1181	1569	1149
1182	1570	1148
1183	1571	1147
1184	1573	1145
1185	1574	1144
1186	1575	1143
1187	1577	1141
1188	1578	1140
1189	1579	1139
1190	1581	1137
1191	1582	1136
1192	1583	1135
1193	1585	1133
1194	1586	1132
1195	1587	1131
1196	1589	1129
1197	1590	1128
1198	1591	1127
1199	1593	1125
1200	1594	1124
1201	1595	1123
1202	1596	1121
1203	1598	1120
1204	1599	1119
1205	1600	1117
1206	1602	1116
1207	1603	1115
1208	1604	1113
1209	1606	1112
1210	1607	1111
1211	1608	1109
1212	1610	1108
1213	1611	1107
1214	1613	1105
1215	1614	1104
1216	1615	1103
1217	1617	1101
1218	1618	1100
1219	1619	1099
1220	1621	1098
1221	1622	1096
1222	1624	1095
1223	1625	1094
1224	1627	1093
1225	1628	1091
1226	1629	1090
1227	1631	1089
1228	1632	1088
1229	1634	1086
1230	1635	1085
1231	1637	1084
1232	1638	1083
1233	1640	1081
1234	1641	1080
1235	1642	1079
1236	1644	1077
1237	1645	1076
1238	1647	1075
1239	1648	1074
1240	1649	1072
1241	1651	1071
1242	1652	1070
1243	1654	1069
1244	1655	1067
1245	1657	1066
1246	1658	1065
1247	1660	1064
1248	1662	1063
1249	1663	1061
1250	1664	1060
1251	1666	1059
1252	1667	1058
1253	1668	1056
1254	1670	1055
1255	1671	1054
1256	1672	1052
1257	1674	1051
1258	1675	1049
1259	1676	1048
1260	1677	1047
1261	1679	1045
1262	1680	1044
1263	1681	1043
1264	1682	1041
1265	1684	1040
1266	1685	1038
1267	1686	1037
1268	1688	1036
1269	1689	1034
1270	1690	1033
1271	1691	1032
1272	1693	1030
1273	1694	1029
1274	1695	1028
1275	1697	1026
1276	1698	1025
1277	1699	1023
1278	1700	1022
1279	1702	1021
1280	1703	1019
1281	1704	1018
1282	1705	1017
1283	1707	1015
1284	1708	1014
1285	1709	1012
1286	1710	1011
1287	1711	1010
1288	1713	1008
1289	1714	1007
1290	1715	1005
1291	1716	1004
1292	1718	1003
1293	1719	1001
1294	1720	1000
1295	1722	999
1296	1723	997
1297	1724	996
1298	1725	995
1299	1727	993
1300	1728	992
1301	1729	990
1302	1730	989
1303	1732	988
1304	1733	986
